epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,281.681,0.67407,0.77885,0.908,0.99895,0.91878,0.93448,0.76838,0.7559,1.18954,0.91731,0.000190625,0.000190625,0.0501906
52,287.4,0.75114,0.69145,0.91458,0.99895,0.91878,0.93448,0.76838,0.7559,1.18954,0.91731,0.000188126,0.000188126,0.0491881
53,292.771,0.71347,0.84422,0.92736,0.99895,0.91878,0.93448,0.76838,0.7559,1.18954,0.91731,0.00018538,0.00018538,0.0481854
54,298.125,0.69505,0.70708,0.91179,0.99895,0.91878,0.93448,0.76838,0.7559,1.18954,0.91731,0.000182386,0.000182386,0.0471824
55,303.354,0.681,0.78641,0.9254,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.000179145,0.000179145,0.0461791
56,309.054,0.69212,0.69009,0.90041,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.000175656,0.000175656,0.0451757
57,314.472,0.65068,0.95016,0.93399,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.00017192,0.00017192,0.0441719
58,320.118,0.69045,0.81136,0.90736,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.000167936,0.000167936,0.0431679
59,325.845,0.68282,0.73144,0.8964,0.99901,0.91878,0.9365,0.76849,0.72129,1.14475,0.90919,0.000163705,0.000163705,0.0421637
60,334.107,0.63416,0.75156,0.91246,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.000159226,0.000159226,0.0411592
61,339.362,0.58802,0.929,0.89742,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.0001545,0.0001545,0.0401545
62,344.633,0.63888,1.04497,0.93469,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.000149526,0.000149526,0.0391495
63,349.94,0.66322,0.939,0.91378,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.000144305,0.000144305,0.0381443
64,355.197,0.65623,0.68558,0.89311,0.99907,0.91878,0.9367,0.77912,0.67531,1.11438,0.9035,0.000138836,0.000138836,0.0371388
65,360.869,0.63211,0.71744,0.91101,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.00013312,0.00013312,0.0361331
66,366.311,0.65873,0.77395,0.91732,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.000127156,0.000127156,0.0351272
67,371.91,0.67707,0.77758,0.91575,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.000120945,0.000120945,0.0341209
68,377.347,0.75952,0.71272,0.91085,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.000114486,0.000114486,0.0331145
69,382.537,0.66338,0.72266,0.90495,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.00010778,0.00010778,0.0321078
70,387.975,0.71222,0.69912,0.9122,0.99915,0.91878,0.93685,0.77758,0.64924,1.08502,0.90504,0.000100826,0.000100826,0.0311008
71,392.878,0.59882,0.98931,0.89362,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,9.3625e-05,9.3625e-05,0.0300936
72,398.518,0.57528,1.06968,0.90046,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,8.61763e-05,8.61763e-05,0.0290862
73,403.32,0.58724,1.11892,0.91553,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,7.848e-05,7.848e-05,0.0280785
74,408.026,0.5822,1.00009,0.89737,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,7.05363e-05,7.05363e-05,0.0270705
75,412.631,0.57862,1.03315,0.86554,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,6.2345e-05,6.2345e-05,0.0260623
76,417.384,0.58718,1.12418,0.93896,0.99917,0.91878,0.93691,0.78054,0.63546,1.05449,0.90582,5.39062e-05,5.39062e-05,0.0250539
77,422.3,0.57117,1.13367,0.92795,0.99922,0.91878,0.93691,0.7798,0.6182,1.02869,0.90501,4.522e-05,4.522e-05,0.0240452
78,426.925,0.61344,0.9609,0.89498,0.99922,0.91878,0.93691,0.7798,0.6182,1.02869,0.90501,3.62862e-05,3.62862e-05,0.0230363
79,431.455,0.62669,0.99314,0.87175,0.99922,0.91878,0.93691,0.7798,0.6182,1.02869,0.90501,2.7105e-05,2.7105e-05,0.0220271
80,436.204,0.58199,1.00009,0.89204,0.99922,0.91878,0.93691,0.7798,0.6182,1.02869,0.90501,1.76762e-05,1.76762e-05,0.0210177
