序號,識別內容,X,Y,Width,Height,Confidence
1,AV C103,52,182,104,103,0.802
2,AV C104,166,183,106,100,0.861
3,AV C105,281,184,106,102,0.848
4,AV C106,395,182,106,101,0.877
5,AV C107,510,183,108,102,0.837
6,AV C108,624,183,105,103,0.884
7,AV C113,738,183,108,100,0.865
8,AV C114,852,183,105,103,0.874
9,AV C201,966,182,106,101,0.866
10,AV C202,1080,183,104,103,0.84
11,AV C203,52,296,105,111,0.814
12,AV C204,166,296,109,111,0.901
13,C AV C209,281,297,106,110,0.857
14,AV C210,394,296,107,111,0.907
15,O AV C211,510,297,110,112,0.85
16,AV C212,624,297,108,112,0.906
17,O AV C301,737,296,111,111,0.88
18,AV C302,852,296,106,111,0.893
19,O AV C303,966,296,110,111,0.904
20,AV C304,1081,297,106,111,0.852
21,AV C306,52,409,105,107,0.766
22,AV C401,166,410,110,104,0.829
23,AV C403,280,410,107,106,0.822
24,AV C404,394,410,109,104,0.836
25,AV C408,510,410,109,105,0.779
26,AV C409,624,410,107,105,0.844
27,AV D601,738,410,112,105,0.817
28,O AV N101,852,410,105,105,0.847
29,AV N102,967,410,110,105,0.85
30,C AV N201,1081,410,106,104,0.809
31,AV N202,52,524,105,111,0.838
32,C AV N601,166,525,108,110,0.903
33,AV N602,280,525,107,110,0.862
34,AV N603,395,525,108,110,0.911
35,AV W101,510,525,110,109,0.855
36,AV W102,624,525,107,110,0.909
37,O AV W201,737,525,111,110,0.889
38,C AV W202,852,525,106,110,0.895
39,AV W203,966,525,110,110,0.912
40,AV W204,1080,525,107,110,0.862
41,AV W205,52,640,105,109,0.756
42,AV W206,166,640,108,106,0.833
43,AV W401,280,640,107,106,0.782
44,AV W402,394,641,107,106,0.843
45,AV W403,510,640,110,107,0.776
46,AV W404,624,641,107,108,0.843
47,C AV W408,738,640,110,106,0.816
48,BV A601,852,641,106,109,0.821
49,BV A602,965,640,109,106,0.832
50,C BV A603,1080,641,107,108,0.766
51,BV N601,52,753,104,108,0.84
52,BV N604,166,752,109,107,0.891
53,L BV N605,280,753,106,109,0.863
54,CV D601,395,752,108,107,0.898
55,CV N601,510,753,110,107,0.837
56,CV N603,624,753,108,108,0.9
57,CV T601,737,753,111,106,0.882
58,C CV W401,852,754,106,108,0.892
59,CV W402,966,752,109,107,0.904
60,CV W403,1080,754,106,108,0.859
61,CV W404,52,869,105,111,0.798
62,CV W405,166,869,108,110,0.876
63,MV C103,280,869,107,109,0.83
64,MV C104,394,868,107,109,0.885
65,MV C107,510,869,110,110,0.828
66,MV C108,624,869,106,110,0.886
67,O MV C201,737,869,111,110,0.855
68,MV C202,852,869,105,110,0.863
69,MV C209,966,868,109,109,0.882
70,MV C210,1080,870,107,110,0.828
71,MV C211,52,981,105,108,0.823
72,O MV C212,167,981,109,106,0.867
73,C MV C301,281,981,107,107,0.842
74,C MV C302,396,981,106,106,0.876
75,MV C303,511,981,110,105,0.817
76,MV C304,625,981,106,107,0.879
77,C MV C306,740,981,109,106,0.873
78,MV C403,854,981,106,107,0.872
79,C MV C404,968,981,108,106,0.881
80,MV D601,1080,981,105,107,0.842
81,MV N401,52,1097,105,112,0.816
82,C MV N601,166,1097,109,110,0.888
83,MV T601,283,1097,108,111,0.831
84,C MV W401,397,1097,108,110,0.918
85,O NV W401,511,1097,111,112,0.873
86,NV W402,626,1097,106,111,0.913
87,C REV T601,740,1097,110,112,0.896
88,RV A601,854,1097,108,111,0.894
89,RV A602,967,1096,109,111,0.908
90,RV A603,1081,1097,106,111,0.868
91,RV N601,52,1209,105,107,0.778
92,RV N604,165,1209,109,106,0.827
93,RV N605,281,1210,109,106,0.814
