序號,識別內容,X,Y,Width,Height,Confidence
719,MV C108,624,869,106,110,0.886
720,O MV C201,737,869,111,110,0.855
721,MV C202,852,869,105,110,0.863
722,MV C209,966,868,109,109,0.882
723,MV C210,1080,870,107,110,0.828
724,MV C211,52,981,105,108,0.823
725,O MV C212,167,981,109,106,0.867
726,MV C301,281,981,107,107,0.842
727,MV C302,396,981,106,106,0.876
728,MV C303,511,981,110,105,0.817
729,C MV C304,625,981,106,107,0.879
730,MV C306,740,981,109,106,0.873
731,MV C403,854,981,106,107,0.872
732,C MV C404,968,981,108,106,0.881
733,MV D601,1080,981,105,107,0.842
734,MV N401,52,1097,105,112,0.816
735,C MV N601,166,1097,109,110,0.888
736,MV T601,283,1097,108,111,0.831
737,C MV W401,397,1097,108,110,0.918
738,O NV W401,511,1097,111,112,0.873
739,NV W402,626,1097,106,111,0.913
740,C REV T601,740,1097,110,112,0.896
741,RV A601,854,1097,108,111,0.894
742,RV A602,967,1096,109,111,0.908
743,RV A603,1081,1097,106,111,0.868
744,RV N601,52,1209,105,107,0.779
745,RV N604,165,1209,109,106,0.827
746,RV N605,281,1210,109,106,0.814
