序號,識別內容,X,Y,Width,Height,Confidence
165,MV C202,52,981,105,108,0.822
166,MV C209,167,981,108,106,0.863
167,MV C210,281,982,107,108,0.84
168,MV C211,396,981,108,106,0.873
169,MV C212,511,981,110,107,0.81
170,MV C301,625,981,106,107,0.877
171,MV C302,740,981,109,106,0.873
172,MV C303,853,982,107,108,0.874
173,MV C304,968,981,108,106,0.88
174,MV C306,1080,981,105,107,0.841
175,MV C403,52,1097,105,112,0.815
176,MV C404,166,1097,109,110,0.885
177,MV C405,282,1097,109,111,0.83
178,C MV N401,397,1097,108,110,0.903
179,O MV N601,511,1097,111,111,0.853
180,MV T601,626,1097,106,111,0.889
181,C MV W401,739,1097,109,112,0.885
182,C NV W401,854,1097,106,110,0.876
183,NV W402,967,1096,108,111,0.911
184,REV T601,1081,1097,106,111,0.864
185,RV A101,52,1209,105,107,0.777
186,RV A601,165,1209,109,106,0.824
187,RV A602,280,1210,109,106,0.816
188,RV A603,397,1210,108,106,0.831
189,RV N101,511,1210,110,106,0.772
190,RV N601,626,1210,106,106,0.838
191,RV N603,740,1210,110,106,0.818
192,RV N605,855,1210,108,106,0.832
193,,45,34,91,68,0.36
194,AV C101,52,182,105,105,0.829
195,AV C102,166,182,107,103,0.882
196,AV C105,281,184,106,102,0.852
197,AV C106,395,182,106,101,0.877
198,AV C107,509,183,109,102,0.833
199,AV C109,624,183,105,103,0.884
200,AV C110,737,183,109,101,0.866
201,AV C111,852,183,106,103,0.88
202,AV C112,966,182,107,101,0.88
203,AV C113,1080,183,105,104,0.851
204,AV C114,52,297,105,112,0.82
205,AV C201,166,296,109,111,0.899
206,AV C202,281,297,107,110,0.858
207,AV C203,394,296,107,111,0.906
208,AV C204,510,297,110,112,0.844
209,AV C205,624,297,108,112,0.905
210,O AV C206,737,297,111,112,0.878
211,AV C207,852,296,106,111,0.893
212,O AV C208,966,296,110,111,0.903
213,AV C302,1081,297,106,111,0.852
214,AV C303,52,409,105,107,0.77
215,AV C304,166,410,110,104,0.831
216,AV C305,281,409,108,105,0.822
217,AV C306,394,410,109,104,0.836
218,AV C401,510,410,109,105,0.779
219,AV C402,624,410,107,105,0.843
220,AV C405,738,410,112,105,0.814
221,AV C406,853,410,106,106,0.845
222,AV C407,967,410,110,105,0.848
223,C AV C408,1081,410,106,104,0.81
224,AV C409,52,524,105,111,0.84
225,C AV N601,166,525,108,110,0.904
226,AV N603,281,525,108,110,0.862
227,AV N604,395,525,108,110,0.91
228,AV N605,510,525,110,109,0.856
229,AV N606,624,525,107,110,0.907
230,AV N607,737,525,111,110,0.888
231,C AV W201,852,525,106,110,0.896
232,C AV W202,965,525,109,110,0.911
233,AV W203,1080,525,107,110,0.862
234,AV W204,52,640,105,109,0.755
235,AV W205,166,640,108,106,0.834
236,AV W206,280,640,107,106,0.783
237,AV W401,395,641,108,106,0.843
238,AV W402,510,640,110,107,0.775
239,AV W403,624,641,107,108,0.843
240,AV W404,738,640,110,106,0.817
241,BV A101,852,641,106,109,0.821
242,BV A601,966,640,110,106,0.831
243,BV A602,1080,640,107,107,0.764
244,BV A603,52,753,104,108,0.84
245,BV CO2,166,752,109,107,0.893
246,BV N101,280,753,106,109,0.865
247,C BV N102,394,752,107,107,0.898
248,BV N103,510,753,110,107,0.837
249,BV N2,624,753,108,108,0.899
250,BV N601,737,753,111,107,0.88
251,C BV N602,852,753,106,108,0.89
252,BV N603,966,752,109,107,0.903
253,CV N601,1080,754,106,108,0.857
254,CV N602,52,869,105,111,0.797
255,CV N603,165,868,109,109,0.876
256,CV W401,280,870,107,110,0.836
257,CV W402,394,869,108,110,0.888
258,CV W403,510,869,110,110,0.825
259,CV W404,624,869,106,110,0.887
260,O CV W405,737,869,111,110,0.856
261,MV C101,852,869,106,110,0.866
262,MV C102,966,868,109,109,0.883
263,MV C106,1080,870,107,110,0.826
264,MV C107,52,981,105,108,0.828
265,MV C201,167,981,109,106,0.87
266,MV C202,281,982,107,108,0.845
267,C MV C205,395,981,107,106,0.878
268,C MV C206,511,981,110,106,0.818
269,MV C301,625,981,106,107,0.881
270,MV C302,740,981,109,106,0.876
271,C MV C303,854,981,106,107,0.874
272,MV C304,968,980,108,105,0.882
273,MV N401,1080,981,105,107,0.843
274,MV N601,52,1097,105,112,0.818
275,MV W401,166,1096,109,111,0.892
276,NV N601,282,1097,109,111,0.835
277,NV W401,397,1097,108,110,0.917
278,O NV W402,511,1097,110,112,0.872
279,RV A101,626,1097,106,111,0.913
280,O RV A601,739,1097,111,112,0.896
281,RV A602,854,1097,108,111,0.895
282,RV A603,967,1096,109,111,0.908
283,RV N101,1081,1097,106,111,0.866
284,RV N601,52,1209,105,107,0.78
285,RV N602,165,1209,109,106,0.83
286,RV N603,281,1210,109,106,0.817
287,AV C103,52,182,104,103,0.808
288,AV C104,166,182,106,101,0.878
289,AV C105,281,184,106,102,0.853
290,C AV C106,394,182,105,101,0.873
291,AV C107,510,183,108,102,0.834
292,AV C108,624,183,106,103,0.882
293,AV C113,737,182,109,101,0.866
294,AV C114,852,183,106,103,0.879
295,AV C201,966,182,106,102,0.874
296,AV C202,1080,183,105,103,0.839
297,AV C203,52,297,105,112,0.816
298,AV C204,166,296,109,111,0.902
299,AV C209,281,297,107,110,0.859
300,AV C210,394,296,107,111,0.906
301,O AV C211,510,297,110,112,0.846
302,AV C212,624,297,108,112,0.904
303,O AV C301,737,297,111,112,0.876
304,AV C302,852,296,106,111,0.889
305,O AV C303,966,296,110,111,0.901
306,AV C304,1081,297,106,111,0.85
307,AV C306,52,409,105,107,0.766
308,AV C401,166,410,110,104,0.83
309,AV C404,281,410,108,106,0.825
310,AV C408,394,410,109,104,0.835
311,AV C409,510,410,109,105,0.779
312,AV N101,624,410,107,105,0.842
313,AV N102,738,410,112,105,0.814
314,AV N201,852,410,105,105,0.843
315,AV N202,967,410,110,104,0.846
316,C AV N601,1081,410,106,104,0.808
317,AV N602,52,524,105,111,0.837
318,AV N603,166,525,109,110,0.903
319,C AV W101,280,525,107,111,0.861
320,AV W102,395,525,108,110,0.911
321,AV W201,510,525,110,109,0.854
322,AV W202,624,525,107,110,0.909
323,AV W203,737,525,111,110,0.889
324,AV W204,852,525,106,110,0.896
325,C AV W205,965,525,109,110,0.911
326,AV W206,1080,525,107,110,0.862
327,AV W401,52,640,105,109,0.756
328,AV W402,166,640,108,106,0.832
329,AV W403,280,640,107,106,0.785
330,AV W404,395,640,108,107,0.842
331,AV W408,510,640,110,107,0.773
332,BV A101,624,641,107,108,0.839
333,BV A601,737,640,111,106,0.811
334,BV A602,852,641,106,109,0.819
335,BV A603,966,640,110,106,0.83
336,BV CO2,1080,640,105,106,0.759
337,BV N101,52,753,104,108,0.839
338,BV N102,166,752,109,107,0.89
339,BV N103,280,753,106,109,0.864
340,C BV N2,394,752,107,107,0.897
341,BV N601,510,753,110,107,0.831
342,BV N603,624,753,108,108,0.896
343,BV N605,738,753,110,107,0.878
344,CV N601,852,753,106,109,0.891
345,CV N603,966,752,110,107,0.902
346,CV T601,1080,754,106,108,0.855
347,CV W401,52,869,105,111,0.798
348,CV W402,166,869,108,110,0.876
349,CV W403,280,870,107,110,0.835
350,CV W404,394,869,108,110,0.885
351,CV W405,510,869,110,110,0.822
352,MV C103,624,869,106,110,0.886
353,O MV C104,737,869,111,110,0.853
354,MV C107,852,869,106,110,0.867
355,O MV C108,966,868,109,109,0.88
356,MV C201,1080,870,107,110,0.824
357,MV C202,52,981,105,108,0.822
358,C MV C209,167,981,108,106,0.863
359,MV C210,281,982,107,108,0.84
360,MV C211,396,981,108,106,0.873
361,MV C212,511,981,110,107,0.81
362,MV C301,625,981,106,107,0.877
363,MV C302,740,981,109,106,0.873
364,MV C303,853,982,107,108,0.874
365,MV C304,968,981,108,106,0.88
366,MV C306,1080,981,105,107,0.841
367,MV C403,52,1097,105,112,0.815
368,MV C404,166,1097,109,110,0.885
369,MV C405,282,1097,109,111,0.83
370,C MV N401,397,1097,108,110,0.903
371,O MV N601,511,1097,111,111,0.853
372,MV T601,626,1097,106,111,0.889
373,C MV W401,739,1097,109,112,0.885
374,C NV W401,854,1097,106,110,0.876
375,NV W402,967,1096,108,111,0.911
376,REV T601,1081,1097,106,111,0.864
377,RV A101,52,1209,105,107,0.777
378,RV A601,165,1209,109,106,0.824
379,RV A602,280,1210,109,106,0.816
380,RV A603,397,1210,108,106,0.831
381,RV N101,511,1210,110,106,0.772
382,RV N601,626,1210,106,106,0.838
383,RV N603,740,1210,110,106,0.818
384,RV N605,855,1210,108,106,0.832
385,AV C101,52,182,105,106,0.826
386,AV C102,166,183,106,102,0.876
387,AV C105,280,184,107,104,0.861
388,C AV C106,394,182,105,101,0.876
389,AV C107,510,183,108,101,0.832
390,AV C109,624,183,105,103,0.882
391,AV C110,738,183,108,100,0.862
392,AV C111,852,183,106,103,0.879
393,AV C112,966,182,106,101,0.866
394,AV C113,1080,183,105,103,0.836
395,AV C114,52,297,105,112,0.819
396,AV C201,166,296,109,111,0.9
397,AV C202,281,297,107,110,0.857
398,AV C203,394,296,107,111,0.906
399,AV C204,510,297,110,112,0.846
400,AV C205,624,297,108,112,0.906
401,O AV C206,737,297,111,112,0.879
402,AV C207,852,296,106,111,0.892
403,O AV C208,966,296,110,111,0.903
404,AV C302,1081,297,106,111,0.852
405,AV C303,52,409,105,107,0.77
406,AV C304,166,410,110,104,0.83
407,AV C305,281,410,108,106,0.821
408,AV C306,394,410,109,104,0.836
409,AV C401,510,410,109,105,0.78
410,AV C402,624,410,107,105,0.844
411,AV C405,738,410,112,105,0.814
412,AV C406,853,410,106,105,0.843
413,AV C407,967,410,110,105,0.846
414,C AV C408,1081,410,106,104,0.808
415,AV C409,52,524,105,111,0.84
416,C AV D601,166,525,108,110,0.905
417,C AV N601,280,525,107,111,0.862
418,AV N603,395,525,108,110,0.911
419,AV N604,510,525,110,109,0.856
420,AV N605,624,525,107,110,0.906
421,O AV N606,737,525,111,110,0.887
422,C AV N607,852,525,106,111,0.895
423,AV W201,966,525,110,110,0.91
424,AV W202,1080,525,107,111,0.861
425,AV W203,52,640,105,109,0.755
426,AV W204,166,640,108,106,0.832
427,AV W205,280,640,107,106,0.785
428,AV W206,395,640,108,107,0.843
429,AV W401,510,640,110,107,0.773
430,AV W402,624,641,107,108,0.842
431,AV W403,738,640,110,106,0.814
432,AV W404,852,641,106,109,0.822
433,BV A601,965,640,109,106,0.83
434,BV A602,1080,640,107,107,0.766
435,BV A603,52,753,104,108,0.84
436,BV N601,166,752,109,107,0.891
437,BV N602,280,753,106,109,0.865
438,BV N603,394,752,107,107,0.896
439,CV D601,510,753,110,107,0.838
440,CV N601,624,753,108,108,0.9
441,C CV N602,738,753,110,106,0.881
442,CV N603,852,753,106,108,0.892
443,CV W401,966,752,109,107,0.903
444,CV W402,1079,754,105,108,0.858
445,CV W403,52,869,105,111,0.803
446,CV W404,166,868,108,109,0.878
447,CV W405,280,869,107,109,0.834
448,MV C101,394,868,107,109,0.885
449,MV C102,510,869,110,110,0.829
450,MV C106,624,869,106,110,0.889
451,MV C107,738,869,110,110,0.857
452,MV C201,852,869,105,110,0.863
453,MV C202,966,868,108,109,0.881
454,MV C205,1080,869,107,109,0.827
455,MV C206,52,981,105,108,0.823
456,C MV C301,167,980,107,105,0.869
457,C MV C302,281,981,107,107,0.841
458,MV C303,396,980,106,105,0.876
459,MV C304,510,981,109,105,0.816
460,MV D601,625,981,106,107,0.881
461,O MV N401,740,981,109,106,0.871
462,MV N601,853,981,105,108,0.872
463,C MV W401,968,981,108,107,0.88
464,C NV N601,1079,982,105,108,0.851
465,NV W401,52,1097,105,112,0.847
466,NV W402,167,1097,108,110,0.905
467,RV A601,282,1097,109,111,0.864
468,RV A602,397,1097,108,111,0.918
469,C RV A603,511,1097,111,112,0.866
470,RV N601,626,1097,106,111,0.911
471,RV N602,739,1097,109,111,0.898
472,RV N603,854,1097,107,111,0.893
473,AV C103,52,182,104,103,0.802
474,AV C104,166,183,106,100,0.861
475,AV C105,281,184,106,102,0.848
476,AV C106,395,182,106,101,0.877
477,AV C107,510,183,108,102,0.837
478,AV C108,624,183,105,103,0.884
479,AV C113,738,183,108,100,0.865
480,AV C114,852,183,105,103,0.874
481,AV C201,966,182,106,101,0.866
482,AV C202,1080,183,104,103,0.84
483,AV C203,52,296,105,111,0.814
484,AV C204,166,296,109,111,0.901
485,C AV C209,281,297,106,110,0.857
486,AV C210,394,296,107,111,0.907
487,O AV C211,510,297,110,112,0.85
488,AV C212,624,297,108,112,0.906
489,O AV C301,737,296,111,111,0.88
490,AV C302,852,296,106,111,0.893
491,O AV C303,966,296,110,111,0.904
492,AV C304,1081,297,106,111,0.852
493,AV C306,52,409,105,107,0.766
494,AV C401,166,410,110,104,0.829
495,AV C403,280,410,107,106,0.822
496,AV C404,394,410,109,104,0.836
497,AV C408,510,410,109,105,0.779
498,AV C409,624,410,107,105,0.844
499,AV D601,738,410,112,105,0.817
500,O AV N101,852,410,105,105,0.847
501,AV N102,967,410,110,105,0.85
502,C AV N201,1081,410,106,104,0.809
503,AV N202,52,524,105,111,0.838
504,C AV N601,166,525,108,110,0.903
505,AV N602,280,525,107,110,0.862
506,AV N603,395,525,108,110,0.911
507,AV W101,510,525,110,109,0.855
508,AV W102,624,525,107,110,0.909
509,O AV W201,737,525,111,110,0.889
510,C AV W202,852,525,106,110,0.895
511,AV W203,966,525,110,110,0.912
512,AV W204,1080,525,107,110,0.862
513,AV W205,52,640,105,109,0.756
514,AV W206,166,640,108,106,0.833
515,AV W401,280,640,107,106,0.782
516,AV W402,394,641,107,106,0.843
517,AV W403,510,640,110,107,0.776
518,AV W404,624,641,107,108,0.843
519,C AV W408,738,640,110,106,0.816
520,BV A601,852,641,106,109,0.821
521,BV A602,965,640,109,106,0.832
522,C BV A603,1080,641,107,108,0.766
523,BV N601,52,753,104,108,0.84
524,BV N604,166,752,109,107,0.891
525,L BV N605,280,753,106,109,0.863
526,CV D601,395,752,108,107,0.898
527,CV N601,510,753,110,107,0.837
528,CV N603,624,753,108,108,0.9
529,CV T601,737,753,111,106,0.882
530,C CV W401,852,754,106,108,0.892
531,CV W402,966,752,109,107,0.904
532,CV W403,1080,754,106,108,0.859
533,CV W404,52,869,105,111,0.798
534,CV W405,166,869,108,110,0.876
535,MV C103,280,869,107,109,0.83
536,MV C104,394,868,107,109,0.885
537,MV C107,510,869,110,110,0.828
538,MV C108,624,869,106,110,0.886
539,O MV C201,737,869,111,110,0.855
540,MV C202,852,869,105,110,0.863
541,MV C209,966,868,109,109,0.882
542,MV C210,1080,870,107,110,0.828
543,MV C211,52,981,105,108,0.823
544,O MV C212,167,981,109,106,0.867
545,C MV C301,281,981,107,107,0.842
546,C MV C302,396,981,106,106,0.876
547,MV C303,511,981,110,105,0.817
548,MV C304,625,981,106,107,0.879
549,C MV C306,740,981,109,106,0.873
550,MV C403,854,981,106,107,0.872
551,C MV C404,968,981,108,106,0.881
552,MV D601,1080,981,105,107,0.842
553,MV N401,52,1097,105,112,0.816
554,C MV N601,166,1097,109,110,0.888
555,MV T601,283,1097,108,111,0.831
556,C MV W401,397,1097,108,110,0.918
557,O NV W401,511,1097,111,112,0.873
558,NV W402,626,1097,106,111,0.913
559,C REV T601,740,1097,110,112,0.896
560,RV A601,854,1097,108,111,0.894
561,RV A602,967,1096,109,111,0.908
562,RV A603,1081,1097,106,111,0.868
563,RV N601,52,1209,105,107,0.778
564,RV N604,165,1209,109,106,0.827
565,RV N605,281,1210,109,106,0.814
566,AV C101,52,182,104,103,0.802
