序號,識別內容,X,Y,Width,Height,Confidence
1,AV C103,52,182,104,103,0.808
2,AV C104,166,182,106,101,0.878
3,AV C105,281,184,106,102,0.853
4,C AV C106,394,182,105,101,0.873
5,AV C107,510,183,108,102,0.834
6,AV C108,624,183,106,103,0.882
7,AV C113,737,182,109,101,0.866
8,AV C114,852,183,106,103,0.879
9,AV C201,966,182,106,102,0.874
10,AV C202,1080,183,105,103,0.839
11,AV C203,52,297,105,112,0.816
12,AV C204,166,296,109,111,0.902
13,AV C209,281,297,107,110,0.859
14,AV C210,394,296,107,111,0.906
15,O AV C211,510,297,110,112,0.846
16,AV C212,624,297,108,112,0.904
17,O AV C301,737,297,111,112,0.876
18,AV C302,852,296,106,111,0.889
19,O AV C303,966,296,110,111,0.901
20,AV C304,1081,297,106,111,0.85
21,AV C306,52,409,105,107,0.766
22,AV C401,166,410,110,104,0.83
23,AV C404,281,410,108,106,0.825
24,AV C408,394,410,109,104,0.835
25,AV C409,510,410,109,105,0.779
26,AV N101,624,410,107,105,0.842
27,AV N102,738,410,112,105,0.814
28,AV N201,852,410,105,105,0.843
29,AV N202,967,410,110,104,0.846
30,C AV N601,1081,410,106,104,0.808
31,AV N602,52,524,105,111,0.837
32,AV N603,166,525,109,110,0.903
33,C AV W101,280,525,107,111,0.861
34,AV W102,395,525,108,110,0.911
35,AV W201,510,525,110,109,0.854
36,AV W202,624,525,107,110,0.909
37,AV W203,737,525,111,110,0.889
38,AV W204,852,525,106,110,0.896
39,C AV W205,965,525,109,110,0.911
40,AV W206,1080,525,107,110,0.862
41,AV W401,52,640,105,109,0.756
42,AV W402,166,640,108,106,0.832
43,AV W403,280,640,107,106,0.785
44,AV W404,395,640,108,107,0.842
45,AV W408,510,640,110,107,0.773
46,BV A101,624,641,107,108,0.839
47,BV A601,737,640,111,106,0.811
48,BV A602,852,641,106,109,0.819
49,BV A603,966,640,110,106,0.83
50,BV CO2,1080,640,105,106,0.759
51,BV N101,52,753,104,108,0.839
52,BV N102,166,752,109,107,0.89
53,BV N103,280,753,106,109,0.864
54,C BV N2,394,752,107,107,0.897
55,BV N601,510,753,110,107,0.831
56,BV N603,624,753,108,108,0.896
57,BV N605,738,753,110,107,0.878
58,CV N601,852,753,106,109,0.891
59,CV N603,966,752,110,107,0.902
60,CV T601,1080,754,106,108,0.855
61,CV W401,52,869,105,111,0.798
62,CV W402,166,869,108,110,0.876
63,CV W403,280,870,107,110,0.835
64,CV W404,394,869,108,110,0.885
65,CV W405,510,869,110,110,0.822
66,MV C103,624,869,106,110,0.886
67,O MV C104,737,869,111,110,0.853
68,MV C107,852,869,106,110,0.867
69,O MV C108,966,868,109,109,0.88
70,MV C201,1080,870,107,110,0.824
71,MV C202,52,981,105,108,0.822
72,C MV C209,167,981,108,106,0.863
73,MV C210,281,982,107,108,0.84
74,MV C211,396,981,108,106,0.873
75,MV C212,511,981,110,107,0.81
76,MV C301,625,981,106,107,0.877
77,MV C302,740,981,109,106,0.873
78,MV C303,853,982,107,108,0.874
79,MV C304,968,981,108,106,0.88
80,MV C306,1080,981,105,107,0.841
81,MV C403,52,1097,105,112,0.815
82,MV C404,166,1097,109,110,0.885
83,MV C405,282,1097,109,111,0.83
84,C MV N401,397,1097,108,110,0.903
85,O MV N601,511,1097,111,111,0.853
86,MV T601,626,1097,106,111,0.889
87,C MV W401,739,1097,109,112,0.885
88,C NV W401,854,1097,106,110,0.876
89,NV W402,967,1096,108,111,0.911
90,REV T601,1081,1097,106,111,0.864
91,RV A101,52,1209,105,107,0.777
92,RV A601,165,1209,109,106,0.824
93,RV A602,280,1210,109,106,0.816
94,RV A603,397,1210,108,106,0.831
95,RV N101,511,1210,110,106,0.772
96,RV N601,626,1210,106,106,0.838
97,RV N603,740,1210,110,106,0.818
98,RV N605,855,1210,108,106,0.832
